id;unitenum;name;text;comments
1;BIBLELESSON;complexity Global world-class;navigate;lavender deposit integrate
2;BIBLELESSON;override;Clothing;Nuevo Sol
3;BIBLELESSON;strategize web-enabled;relationships Antarctica (the territory South of 60 deg S) SMTP;Granite gold optical
4;ACTIVITY;Specialist;Lakes cross-platform Digitized;payment
5;BIBLELESSON;service-desk International Cambridgeshire;Multi-layered revolutionize;deliverables
6;ACTIVITY;Dynamic;networks;Wooden payment
7;ACTIVITY;Sleek;hacking;Minnesota Handmade
8;ACTIVITY;analyzer;Valley Incredible Wooden Chips Investment Account;Rubber
9;BIBLELESSON;Movies Refined Granite Bike Rubber;Engineer Timor-Leste compress;Cheese
10;ACTIVITY;Tools 24/7;input override;Pines Open-architected
